place_of_residence,place_of_work,N_workers,place_of_residence_chi,place_of_work_chi
Eastern,Yuen Long New Town,542,東區,元朗新市鎮
Southern,Yuen Long New Town,196,南區,元朗新市鎮
Yau Tsim Mong,Yuen Long New Town,467,油尖旺,元朗新市鎮
Sham Shui Po,Yuen Long New Town,1113,深水埗,元朗新市鎮
Kowloon City,Yuen Long New Town,685,九龍城,元朗新市鎮
Wong Tai Sin,Yuen Long New Town,686,黃大仙,元朗新市鎮
Kwun Tong,Yuen Long New Town,943,觀塘,元朗新市鎮
Kwai Tsing,Yuen Long New Town,1689,葵青,元朗新市鎮
Tsuen Wan,Yuen Long New Town,1195,荃灣,元朗新市鎮
Tuen Mun,Yuen Long New Town,8452,屯門,元朗新市鎮
Yuen Long,Yuen Long New Town,31594,元朗,元朗新市鎮
North,Yuen Long New Town,2276,北區,元朗新市鎮
Tai Po,Yuen Long New Town,1029,大埔,元朗新市鎮
Sha Tin,Yuen Long New Town,959,沙田,元朗新市鎮
Sai Kung,Yuen Long New Town,261,西貢,元朗新市鎮
Islands,Yuen Long New Town,124,離島,元朗新市鎮
Central and Western,Tin Shui Wai New Town,70,中西區,天水圍新市鎮
Wan Chai,Tin Shui Wai New Town,114,灣仔,天水圍新市鎮
Eastern,Tin Shui Wai New Town,240,東區,天水圍新市鎮
Southern,Tin Shui Wai New Town,30,南區,天水圍新市鎮
Yau Tsim Mong,Tin Shui Wai New Town,178,油尖旺,天水圍新市鎮
Sham Shui Po,Tin Shui Wai New Town,353,深水埗,天水圍新市鎮
Kowloon City,Tin Shui Wai New Town,206,九龍城,天水圍新市鎮
Wong Tai Sin,Tin Shui Wai New Town,134,黃大仙,天水圍新市鎮
Kwun Tong,Tin Shui Wai New Town,235,觀塘,天水圍新市鎮
Kwai Tsing,Tin Shui Wai New Town,427,葵青,天水圍新市鎮
Tsuen Wan,Tin Shui Wai New Town,428,荃灣,天水圍新市鎮
Tuen Mun,Tin Shui Wai New Town,3408,屯門,天水圍新市鎮
